task_type,cpu_usage,mem_usage,io_usage,duration,priority,resource_allocated
image_processing,70,60,30,45,high,high
data_analysis,40,20,10,60,medium,medium
network_request,50,50,60,30,low,medium
machine_learning,80,70,50,90,high,high
System Idle Process,2094,0,0,0,unknown,medium
System,16,0,100,8126,low,medium
unknown,0,0,0,8127,low,medium
Registry,0,0,100,8128,low,medium
smss.exe,0,0,0,8126,low,medium
svchost.exe,0,0,0,8123,low,medium
csrss.exe,0,0,0,8124,low,medium
wininit.exe,0,0,0,8123,low,medium
csrss.exe,0,0,1,8124,low,medium
zen.exe,0,0,100,1663,low,medium
services.exe,0,0,0,8124,low,medium
LsaIso.exe,0,0,0,8124,low,medium
lsass.exe,0,0,2,8124,low,medium
Zalo.exe,0,0,100,8105,low,medium
winlogon.exe,0,0,0,8124,low,medium
svchost.exe,0,0,0,8124,low,medium
fontdrvhost.exe,0,0,0,8124,low,medium
fontdrvhost.exe,0,0,0,8124,low,medium
svchost.exe,0,0,0,8124,low,medium
svchost.exe,0,0,0,8124,low,medium
svchost.exe,0,0,0,8124,low,medium
svchost.exe,0,0,0,8124,low,medium
dwm.exe,0,0,32,8125,low,medium
svchost.exe,0,0,0,8125,low,medium
svchost.exe,0,0,2,8125,low,medium
svchost.exe,0,0,0,8125,low,medium
SecurityHealthService.exe,0,0,2,8109,low,medium
svchost.exe,0,0,0,8125,low,medium
svchost.exe,0,0,0,8125,low,medium
svchost.exe,0,0,0,8125,low,medium
conhost.exe,0,0,0,317,low,medium
svchost.exe,0,0,0,8125,low,medium
Code.exe,16,0,100,321,low,medium
svchost.exe,0,0,0,8126,low,medium
SearchProtocolHost.exe,0,0,0,4,low,medium
ShellHost.exe,0,0,0,2700,low,medium
NVDisplay.Container.exe,0,0,11,8126,low,medium
svchost.exe,0,0,0,8126,low,medium
conhost.exe,0,0,0,319,low,medium
svchost.exe,0,0,0,8126,low,medium
dasHost.exe,0,0,0,7659,low,medium
svchost.exe,0,0,100,8126,low,medium
svchost.exe,0,0,14,8127,low,medium
svchost.exe,0,0,0,8127,low,medium
svchost.exe,0,0,0,8127,low,medium
Code.exe,0,0,9,242,low,medium
MemCompression,0,0,0,8127,low,medium
svchost.exe,0,0,0,8127,low,medium
svchost.exe,0,0,0,8127,low,medium
svchost.exe,0,0,0,8127,low,medium
svchost.exe,0,0,0,8127,low,medium
svchost.exe,0,0,18,8127,low,medium
svchost.exe,0,0,0,8127,low,medium
svchost.exe,0,0,25,8128,low,medium
svchost.exe,0,0,0,8128,low,medium
svchost.exe,0,0,0,8128,low,medium
Spotify.exe,0,0,0,1801,low,medium
svchost.exe,0,0,0,8128,low,medium
spoolsv.exe,0,0,0,8128,low,medium
